# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 05 10:18:19 EDT 2021 [seed=1636121890340]
state	joint	prior	likelihood	loc.clock.rate	loc.meanRate	loc.rates.CT.NY-NJ	loc.rates.CT.domestic	loc.rates.CT.international	loc.rates.NY-NJ.domestic	loc.rates.NY-NJ.international	loc.rates.domestic.international	loc.rates.NY-NJ.CT	loc.rates.domestic.CT	loc.rates.international.CT	loc.rates.domestic.NY-NJ	loc.rates.international.NY-NJ	loc.rates.international.domestic	loc.indicators.CT.NY-NJ	loc.indicators.CT.domestic	loc.indicators.CT.international	loc.indicators.NY-NJ.domestic	loc.indicators.NY-NJ.international	loc.indicators.domestic.international	loc.indicators.NY-NJ.CT	loc.indicators.domestic.CT	loc.indicators.international.CT	loc.indicators.domestic.NY-NJ	loc.indicators.international.NY-NJ	loc.indicators.international.domestic	loc.nonZeroRates	loc.branchRates	loc.treeLikelihood
10000	-1666.7670608822204	-178.66234866366582	-1488.1047122185546	1.9956890779420882	1.9956890779420884	1.7640695897762182	0.07813195064005747	0.07930544065037086	1.470473116366357	0.4378091817582734	0.3517947101523208	2.197528972097995	0.6339804040883003	1.901966392951047	1.015802797617546	0.6422159427643463	0.04893085076925914	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1488.1047122185546
11000	-1680.5851051550892	-188.0881050790371	-1492.497000076052	2.052556329463168	2.0525563294631706	3.6606840994041527	0.3621885963316361	0.8781153484247809	2.293310963774833	0.6907706414705745	1.245001924124193	4.172209148199232	1.158007766847573	1.272053758064377	1.2753340875651165	0.8760658255458399	0.08744973897672788	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1492.497000076052
12000	-1673.0853007116568	-163.344339121665	-1509.740961589992	1.7767617119855728	1.7767617119855745	2.3393375132127256	0.44429459202815186	0.11813080315442284	1.9294328024521612	0.3625886761292058	0.7136738990532568	3.2179238154269614	0.5323501557971159	0.5845120260939354	0.9635043181363726	0.7895411910304492	2.4741828371845576	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1509.740961589992
13000	-1679.314846382967	-174.06179171781648	-1505.2530546651506	1.8151078903332907	1.8151078903332913	3.67178563707541	0.4644119953871007	0.06483684410329246	2.587756262705341	0.8935844591902016	1.273146291546256	4.609526886648338	0.5654716729476756	2.4822299594458697	1.5554193059667623	1.2312585045396132	0.5307966297329854	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1505.2530546651506
14000	-1674.3144994771371	-178.59519449456616	-1495.719304982571	1.9321741255281066	1.9321741255280986	2.023718951558795	0.5114596152346148	0.20038265708872618	1.5142886745307202	0.5574273725758224	0.6819058630299145	2.9871876285118937	0.8374162241240055	4.013220228712258	1.2996375085874157	0.5436546682922476	0.2761134405469936	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1495.719304982571
15000	-1668.0529981863997	-183.43342706103695	-1484.6195711253627	2.0623551544818564	2.0623551544818532	2.048860510987994	0.15752351584151433	0.08979263914462905	1.2808155815281943	0.4684349658922043	0.6094686726421414	2.5379373791138145	0.5612216671052044	0.4022729246039071	1.1167644600575708	0.5139237361557013	0.47237699786842774	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1484.6195711253627
16000	-1673.124846352856	-177.59107974305059	-1495.5337666098053	1.994089741618249	1.9940897416182526	1.8246148179671597	0.15504931034584457	0.05208809040289835	1.545889457842778	0.5814325228263278	0.43433453011235806	2.9237064834128543	0.18894942369786896	1.7240710099031324	1.6077327182727583	0.6026911947048562	0.33593132665288983	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1495.5337666098053
17000	-1666.3988833654232	-168.10585783747973	-1498.2930255279434	1.9415989613335933	1.9415989613335878	1.2861346982126238	0.22062408630172706	0.06723093687122268	0.9234342559470813	0.19737702600211388	0.20022068815826444	1.2465868247551777	0.42702287173941894	0.4443997343489714	0.3060206049722427	0.21889505245621102	0.9958343457595892	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1498.2930255279434
18000	-1669.2243186922847	-158.48441300511283	-1510.7399056871718	1.7867883898271395	1.7867883898271386	1.0351763976902233	0.7590447910752952	0.04395668279981964	1.048714047775261	0.40087112596764296	0.25770035623737436	1.5753351474412662	0.19518926366281605	1.0651915924343196	0.5115407182423645	0.4789749841305491	1.4653933817016518	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1510.7399056871718
19000	-1670.000000320599	-162.81891855203892	-1507.18108176856	1.7956865769281511	1.7956865769281503	2.619615416869309	0.055225145386918584	0.2347562481053388	1.735837235120989	0.5218562999761045	0.6842602603562615	3.0212418304335196	0.7280954962249085	0.45610864064958656	1.1500956124557935	0.7575069046862318	0.5214893516594309	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1507.18108176856
