tip_name	collection_date
hCoV-19_USA_NY-CDC-ASC210018087_2021	2021-03-24
hCoV-19_USA_NY-PRL-2021_03_01_01O03_2021	2021-02-28
hCoV-19_USA_NY-NYCPHL-003029_2021	2021-02-04
hCoV-19_USA_CT-JAX-JAX000680_2021	2021-03-31
hCoV-19_USA_NY-Wadsworth-21031391-01_2021	2021-03-02
hCoV-19_USA_NY-PRL-2021_03_29_01N06_2021	2021-03-27
hCoV-19_USA_NY-PRL-2021_0416_00D23_2021	2021-04-15
hCoV-19_USA_NY-PRL-2021_04_01_00I09_2021	2021-03-29
hCoV-19_USA_NY-Wadsworth-21028307-01_2021	2021-03-01
hCoV-19_USA_CT-CDC-QDX23678230_2021	2021-04-05
hCoV-19_USA_CT-CDC-QDX23678229_2021	2021-04-05
hCoV-19_USA_CT-Yale-3126_2021	2021-03-26
hCoV-19_USA_CT-Yale-3131_2021	2021-03-26
hCoV-19_USA_NY-CDC-LC0036435_2021	2021-03-28
hCoV-19_Poland_WGS-CoV-PZH-UMB-0522_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000736_2021	2021-03-29
hCoV-19_USA_NY-NYULH830_2021	2021-03-09
hCoV-19_USA_NY-Wadsworth-21032722-01_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_02_25_00D20_2021	2021-02-22
hCoV-19_USA_NY-PRL-2021_03_29_04F22_2021	2021-03-24
hCoV-19_USA_NY-PRL-2021_03_15_01G20_2021	2021-03-13
hCoV-19_USA_NY-Wadsworth-21013513-01_2021	2021-01-21
hCoV-19_USA_CT-JAX-JAX000387_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_03_05_00E15_2021	2021-03-03
hCoV-19_USA_NY-PRL-2021_03_22_01I16_2021	2021-03-20
hCoV-19_USA_CT-JAX-JAX000399_2021	2021-03-17
hCoV-19_USA_NY-Wadsworth-21012104-01_2021	2021-01-17
hCoV-19_USA_NY-PRL-2021_03_17_00A06_2021	2021-03-15
hCoV-19_USA_NY-CDC-LC0007003_2021	2021-01-19
hCoV-19_USA_NJ-CDC-ASC210018893_2021	2021-03-23
hCoV-19_USA_NY-CDC-LC0038600_2021	2021-03-31
hCoV-19_USA_CA-CDC-STM-000048963_2021	2021-04-02
hCoV-19_USA_NY-NYCPHL-003593_2021	2021-02-24
hCoV-19_USA_IL-CDC-QDX23572459_2021	2021-04-01
hCoV-19_USA_NJ-CDC-ASC210018845_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_0412_01L21_2021	2021-04-10
hCoV-19_USA_MS-UMMC-M487A11-504731_2021	2021-04-01
hCoV-19_USA_MS-UMMC-S301B4-504721_2021	2021-04-08
hCoV-19_USA_CT-JAX-JAX000313_2021	2021-03-15
hCoV-19_USA_CT-CDC-LC0040601_2021	2021-04-05
hCoV-19_USA_CT-Yale-2461_2021	2021-03-12
hCoV-19_USA_CT-Yale-2466_2021	2021-03-11
hCoV-19_USA_CT-Yale-2559_2021	2021-03-13
hCoV-19_USA_NY-NYCPHL-003979_2021	2021-03-19
hCoV-19_USA_NY-Wadsworth-21021043-01_2021	2021-02-05
hCoV-19_USA_NY-PRL-2021_04_01_00G16_2021	2021-03-29
hCoV-19_USA_NY-PRL-2021_0412_01H10_2021	2021-04-10
hCoV-19_USA_NY-PRL-2021_0408_00I19_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_29_00N14_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_0413_00D10_2021	2021-04-11
hCoV-19_USA_NY-PRL-2021_0405_01M06_2021	2021-04-01
hCoV-19_USA_NY-Wadsworth-21033921-01_2021	2021-03-10
hCoV-19_USA_CT-JAX-JAX000927_2021	2021-04-06
hCoV-19_USA_CT-Yale-3146_2021	2021-03-26
hCoV-19_USA_NJ-CDC-ASC210007571_2021	2021-03-13
hCoV-19_USA_NY-PRL-2021_0405_02A07_2021	2021-04-03
hCoV-19_USA_MS-UMMC-M442E1-500261_2021	2021-03-09
hCoV-19_USA_CT-Yale-3149_2021	2021-03-25
hCoV-19_USA_NY-CDC-ASC210042315_2021	2021-04-02
hCoV-19_USA_NY-PRL-2021_02_17_00P15_2021	2021-02-15
hCoV-19_USA_NY-PRL-2021_0203_01H08_2021	2021-01-31
hCoV-19_USA_CA-CDCBI-FlowHealth_00474_2021	2021-03-26
hCoV-19_USA_NY-Wadsworth-21028308-01_2021	2021-03-01
hCoV-19_USA_NY-PRL-2021_04_01_00L18_2021	2021-03-31
hCoV-19_USA_CT-CDC-LC0040840_2021	2021-04-07
hCoV-19_USA_NY-PRL-2021_02_19_01G09_2021	2021-02-17
hCoV-19_USA_NY-NYCPHL-003915_2021	2021-03-16
hCoV-19_USA_NY-CDC-QDX23396293_2021	2021-03-27
hCoV-19_USA_NY-PRL-2021_0409_00N22_2021	2021-04-07
hCoV-19_USA_NY-NYULH922_2021	2021-03-17
hCoV-19_USA_NY-Wadsworth-21032939-01_2021	2021-03-01
hCoV-19_USA_MN-MDH-4713_2021	2021-03-24
hCoV-19_USA_NY-PRL-2021_0412_02N19_2021	2021-04-09
hCoV-19_USA_NY-PRL-2021_0408_00M01_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_03_19_00I24_2021	2021-03-17
hCoV-19_USA_NY-PRL-2021_0406_00N09_2021	2021-04-05
hCoV-19_USA_NJ-CDC-ASC210038541_2021	2021-03-30
hCoV-19_USA_NY-CDC-2-4177128_2021	2021-03-16
hCoV-19_USA_NY-Wadsworth-21030347-01_2021	2021-03-03
hCoV-19_USA_NY-PRL-2021_03_22_00F20_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_23_00D16_2021	2021-03-19
hCoV-19_USA_NY-NYCPHL-004016_2021	2021-03-22
hCoV-19_USA_IL-CDC-LC0019323_2021	2021-02-18
hCoV-19_USA_NY-PRL-2021_0405_00C24_2021	2021-03-30
hCoV-19_USA_NY-PRL-03_05_02H16_2021	2021-03-03
hCoV-19_USA_NY-PRL-2021_02_17_00M07_2021	2021-02-14
hCoV-19_USA_NJ-CDC-ASC210007300_2021	2021-03-15
hCoV-19_USA_NY-CDC-LC0034258_2021	2021-03-17
hCoV-19_USA_CT-CDCBI-CRSP_01585_2021	2021-03-20
hCoV-19_USA_NY-PRL-2021_0405_00O05_2021	2021-03-31
hCoV-19_USA_NJ-CDC-ASC210009049_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_03_15_00N10_2021	2021-03-12
hCoV-19_USA_NJ-CDC-LC0043293_2021	2021-04-09
hCoV-19_USA_NJ-CDC-ASC210007909_2021	2021-03-16
hCoV-19_USA_NJ-CDC-LC0031705_2021	2021-03-14
hCoV-19_USA_CT-Yale-2853_2021	2021-03-21
hCoV-19_USA_NY-Yale-2228_2021	2021-03-05
hCoV-19_USA_NY-Wadsworth-21032706-01_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_23_01D04_2021	2021-03-22
hCoV-19_USA_NY-PRL-2021_0412_01D22_2021	2021-04-10
hCoV-19_USA_NY-PRL-2021_03_12_00J11_2021	2021-03-09
hCoV-19_USA_NY-PRL-2021_03_25_00P12_2021	2021-03-24
hCoV-19_USA_NY-NYCPHL-003937_2021	2021-03-17
hCoV-19_USA_NY-NYCPHL-003528_2021	2021-02-23
hCoV-19_USA_NY-PRL-2021_03_23_00L14_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_05_00P05_2021	2021-03-03
hCoV-19_USA_NJ-CDC-LC0036287_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_0406_00E11_2021	2021-04-02
hCoV-19_USA_NY-PRL-2021_0413_00C10_2021	2021-04-10
hCoV-19_USA_NY-PRL-2021_0408_00K04_2021	2021-04-06
hCoV-19_USA_NY-MVL047211983_2021	2021-02-16
hCoV-19_USA_CT-CDC-QDX23678335_2021	2021-04-05
hCoV-19_USA_NJ-CDC-ASC210009467_2021	2021-03-17
hCoV-19_USA_NY-PRL-2021_0416_00I16_2021	2021-04-14
hCoV-19_USA_NY-PRL-2021_0416_00A16_2021	2021-04-15
hCoV-19_USA_NY-PRL-2021_0416_00C22_2021	2021-04-15
hCoV-19_USA_NY-PRL-2021_0412_01A15_2021	2021-04-10
hCoV-19_USA_NJ-CDC-IBX926761253319_2021	2021-03-20
hCoV-19_USA_CT-CDC-QDX23205585_2021	2021-03-21
hCoV-19_USA_NJ-CDC-ASC210006115_2021	2021-03-13
hCoV-19_USA_NY-PRL-2021_03_25_00J09_2021	2021-03-24
hCoV-19_USA_NY-PRL-2021_0408_00E12_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_0405_00G22_2021	2021-03-30
hCoV-19_USA_NJ-CDC-ASC210013396_2021	2021-03-20
hCoV-19_USA_NY-PRL-2021_04_01_00B06_2021	2021-03-29
hCoV-19_USA_NY-PRL-2021_0405_01E11_2021	2021-04-03
hCoV-19_USA_NY-PRL-2021_0208_04D08_2021	2021-02-06
hCoV-19_USA_NY-CDC-LC0033528_2021	2021-03-18
hCoV-19_USA_NY-PRL-2021_03_11_00D03_2021	2021-03-09
hCoV-19_USA_NY-Wadsworth-21018099-01_2021	2021-01-28
hCoV-19_USA_CT-CDC-IBX494693701928_2021	2021-03-15
hCoV-19_USA_CT-JAX-JAX000307_2021	2021-03-14
hCoV-19_USA_CT-JAX-JAX000438_2021	2021-03-20
hCoV-19_USA_CT-CDC-STM-000048335_2021	2021-04-01
hCoV-19_USA_ND-NDDH-0630_2021	2021-03-29
hCoV-19_USA_SD-CDC-LC0031952_2021	2021-03-14
hCoV-19_USA_MN-CDC-IBX306963000303_2021	2021-03-24
hCoV-19_USA_FL-CDC-STM-000038519_2021	2021-03-18
hCoV-19_USA_CA-CDC-FG-020862_2021	2021-04-11
hCoV-19_USA_OH-CDC-QDX23655014_2021	2021-04-05
hCoV-19_USA_AZ-TG797769_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_0407_00L02_2021	2021-04-05
hCoV-19_USA_CT-Yale-3559_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_0406_00O18_2021	2021-04-05
hCoV-19_USA_NY-PRL-2021_0412_02O09_2021	2021-04-09
hCoV-19_USA_NY-PRL-2021_0415_01K21_2021	2021-04-14
hCoV-19_USA_NY-PRL-2021_03_25_00C18_2021	2021-03-23
hCoV-19_USA_NY-PRL-2021_03_18_00O02_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_02_15_02G04_2021	2021-02-12
hCoV-19_USA_NY-CDC-LC0038962_2021	2021-03-29
hCoV-19_USA_NJ-CDC-ASC210007574_2021	2021-03-10
hCoV-19_USA_NY-Wadsworth-21040768-01_2021	2021-04-03
hCoV-19_USA_NJ-CDC-IBX567089003969_2021	2021-03-31
hCoV-19_USA_NY-NYULH979_2021	2021-03-18
hCoV-19_USA_NY-PRL-2021_0412_02C22_2021	2021-04-09
hCoV-19_USA_NY-PRL-2021_03_22_01H19_2021	2021-03-20
hCoV-19_USA_NY-PRL-2021_03_12_00C11_2021	2021-03-09
hCoV-19_USA_NY-PRL-2021_0409_00J01_2021	2021-04-07
hCoV-19_USA_CT-Yale-3514_2021	2021-04-05
hCoV-19_USA_CT-Yale-3561_2021	2021-04-06
hCoV-19_USA_CT-Yale-3583_2021	2021-04-04
hCoV-19_USA_NY-PRL-2021_0408_00I10_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_0414_00G15_2021	2021-04-12
hCoV-19_USA_IL-CDC-ASC210044822_2021	2021-04-04
hCoV-19_USA_CT-Yale-3225_2021	2021-03-27
hCoV-19_USA_NY-Wadsworth-21042125-01_2021	2021-04-02
hCoV-19_USA_NY-PRL-2021_0415_00L02_2021	2021-04-13
hCoV-19_USA_NY-PRL-2021_03_16_00B08_2021	2021-03-14
hCoV-19_USA_NY-MMI040210454_2021	2021-02-09
hCoV-19_USA_NY-Wadsworth-21020504-01_2021	2021-02-04
hCoV-19_USA_CT-Yale-2789_2021	2021-03-18
hCoV-19_USA_CT-Yale-3238_2021	2021-03-26
hCoV-19_USA_CT-Yale-2712_2021	2021-03-21
hCoV-19_USA_CT-Yale-2197_2021	2021-03-07
hCoV-19_USA_CT-Yale-2824_2021	2021-03-18
hCoV-19_USA_CT-CDC-LC0040777_2021	2021-04-08
hCoV-19_USA_CT-JAX-JAX000809_2021	2021-04-06
hCoV-19_USA_CT-JAX-JAX000897_2021	2021-04-05
hCoV-19_USA_CT-CDC-STM-000039980_2021	2021-03-19
hCoV-19_USA_CT-Yale-3479_2021	2021-04-05
hCoV-19_USA_CT-Yale-3100_2021	2021-03-24
