# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 12 14:39:34 EST 2021 [seed=1636745955969]
state	joint	prior	likelihood	loc.clock.rate	loc.meanRate	loc.rates.CT.NY-NJ	loc.rates.CT.domestic	loc.rates.CT.international	loc.rates.NY-NJ.domestic	loc.rates.NY-NJ.international	loc.rates.domestic.international	loc.rates.NY-NJ.CT	loc.rates.domestic.CT	loc.rates.international.CT	loc.rates.domestic.NY-NJ	loc.rates.international.NY-NJ	loc.rates.international.domestic	loc.indicators.CT.NY-NJ	loc.indicators.CT.domestic	loc.indicators.CT.international	loc.indicators.NY-NJ.domestic	loc.indicators.NY-NJ.international	loc.indicators.domestic.international	loc.indicators.NY-NJ.CT	loc.indicators.domestic.CT	loc.indicators.international.CT	loc.indicators.domestic.NY-NJ	loc.indicators.international.NY-NJ	loc.indicators.international.domestic	loc.nonZeroRates	loc.branchRates	loc.treeLikelihood
10000	-2787.5829357996718	-360.2190390452825	-2427.3638967543893	2.261665077668237	2.2616650776682325	2.2387581528595546	0.547551746217837	0.10694845291921345	1.3237985442633813	0.46203940432110246	0.6299449987523309	2.489443649921297	1.5656872669926263	0.3623511737356306	1.7284291036140287	0.9455913172302559	1.4635656367402181	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2427.3638967543893
11000	-2780.7414506103287	-339.60871402046126	-2441.1327365898674	2.1396352311224063	2.139635231122405	1.918887571436217	0.43784891666526904	0.22130583280111124	1.0381300948485237	0.4343419019519245	0.27556890579992976	1.8122754896669269	1.1734080645894402	0.2978359346666979	1.5125394869404596	0.7214613491598126	1.0746492228272413	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2441.1327365898674
12000	-2779.048190116297	-343.7847167410754	-2435.2634733752216	2.1863353707689717	2.1863353707689615	1.4236408160161176	0.2263846452197841	0.10134864051594929	0.5922539802669053	0.21463318910978807	0.23901279806300782	1.6686361026577399	0.8507718727683026	0.28376308427846303	1.3799835238558307	0.5754028731596793	0.7781482785048334	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2435.2634733752216
13000	-2775.3146241451136	-341.57627458370007	-2433.7383495614135	2.1827628176359863	2.1827628176359837	1.2130982159549137	0.19808080392441552	0.1204837634916929	0.44732983344584976	0.25667923118252745	0.17798643339632547	1.120428018078283	0.886507192497316	0.24028576426967113	0.9858983351330874	0.3819831847576386	0.6139286842843958	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2433.7383495614135
14000	-2782.2752393716582	-354.2680927576698	-2428.0071466139884	2.247126521459136	2.2471265214591267	1.8971803760957568	0.2653931736664441	0.2693226982204449	0.8315110016525299	0.19841917284489294	0.17840080495352467	1.614183773670647	1.602607272525755	0.2050411338519541	1.4156148658749192	0.6316793612370921	0.9082631600497485	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2428.0071466139884
15000	-2776.5548996041916	-360.1042696783367	-2416.450629925855	2.3161572351774184	2.316157235177418	1.065768293818808	0.1257263161271509	0.0804865310751456	0.5794204071505904	0.24472416604913563	0.19076161499605793	0.9218276555114123	0.6979025126848248	0.12750486185375126	0.8888139282980965	0.4235380012747008	0.5153166253287721	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2416.450629925855
16000	-2778.3382124044665	-380.40328290460275	-2397.9349294998638	2.451985230944009	2.4519852309439925	1.2279837928502513	0.19452412346862896	0.08901759274706582	0.6507424604555001	0.24788693534516743	0.14559179163879013	0.9655228631057736	0.7893859799705004	0.2150967959394534	1.102806207882469	0.3691615118462539	0.5036348764483297	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2397.9349294998638
17000	-2779.805918744384	-328.7652074572717	-2451.0407112871126	2.0749633921946997	2.074963392194697	1.8766930356973206	0.2936416149532619	0.17571295110283786	0.78116610276362	0.27063897017291016	0.1958102519540022	1.4729434631068554	1.0710715447696293	0.41520962517382504	1.3689364207161383	0.6214462562799441	0.8937164630565234	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2451.0407112871126
18000	-2788.3041539552214	-330.7538297273668	-2457.5503242278546	2.0461605829357703	2.0461605829357685	2.549167618283585	0.6327957045359203	0.1455275059714324	1.375978562387311	0.3166410441190077	0.38815512565813565	2.710567503871479	2.3384398985720742	0.33593028713175727	2.529283802956633	0.8813803787939666	1.3915444837369222	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2457.5503242278546
19000	-2781.8968197159625	-332.3427612656773	-2449.554058450285	2.0842422378899967	2.0842422378899936	2.0835954449288083	0.4033736432668725	0.2084639727309975	0.9856921374410691	0.5412415079091557	0.28936851976729144	1.8598885064108803	1.217052119378107	0.3554276115058152	1.7632984101134062	0.8329077406746856	1.130946527219199	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2449.554058450285
