tip_name	tip_dates
hCoV-19_Brazil_SP-2602_2021	2021-04-10
hCoV-19_Brazil_SP-L67-CD1713_2020	2020-12-22
hCoV-19_Brazil_SP-L67-CD1714_2020	2020-12-21
hCoV-19_Brazil_SP-900B_2020	2020-12-21
hCoV-19_Brazil_SP-901B_2020	2020-12-22
hCoV-19_Ecuador_USFQ-581_2021	2021-01-06
hCoV-19_Ecuador_INSPI-179112_2021	2021-01-05
hCoV-19_Ecuador_USFQ-582_2021	2021-01-06
hCoV-19_Peru_LIM-INS-173_2020	2020-12-31
hCoV-19_Brazil_SP-976_2021	2021-01-06
hCoV-19_Argentina_PAIS-E0126_2020	2020-12-21
hCoV-19_Brazil_SP-981_2021	2021-01-07
hCoV-19_Ecuador_USFQ-736_2021	2021-01-21
hCoV-19_Ecuador_USFQ-737_2021	2021-01-22
hCoV-19_Brazil_DF-1024_2020	2020-12-31
hCoV-19_Brazil_DF-1025_2020	2020-12-31
hCoV-19_Brazil_SP-1013_2021	2021-01-08
hCoV-19_Brazil_SP-1012_2021	2021-01-12
hCoV-19_Brazil_SP-1046_2021	2021-01-19
hCoV-19_Brazil_SP-1044_2021	2021-01-19
hCoV-19_Brazil_SP-1052_2021	2021-01-20
hCoV-19_Brazil_SP-1050_2021	2021-01-22
hCoV-19_Brazil_SP-1045_2021	2021-01-19
hCoV-19_Brazil_SP-1049_2021	2021-01-22
hCoV-19_Brazil_GO-1054_2021	2021-01-15
hCoV-19_Taiwan_NTU49_2020	2020-12-31
hCoV-19_Lebanon_LEB-UK-B_2020	2020-12-30
hCoV-19_Indonesia_JK-NIHRD-MI2101540_2021	2021-02-04
hCoV-19_Indonesia_JK-NIHRD-MI2101673_2021	2021-02-07
hCoV-19_Beijing_IVDC-05_2021	2021-01-17
hCoV-19_Lebanon_FAS_2021	2021-01-04
hCoV-19_Indonesia_JK-NIHRD-MI211743_2021	2021-02-08
hCoV-19_India_MH-NIV-VOC-389_2021	2021-01-15
hCoV-19_India_MH-NIV-VOC-395_2021	2021-01-16
hCoV-19_India_KL-NIV-VOC-415_2021	2021-01-18
hCoV-19_India_KA-NIV-VOC-485_2021	2021-02-04
hCoV-19_India_MH-NIV-VOC-487_2021	2021-02-04
hCoV-19_India_TN-NIV-VOC-594_2020	2020-12-26
hCoV-19_India_KA-NIV-VOC-401_2021	2021-01-18
hCoV-19_India_KA-NIV-VOC-484_2021	2021-02-03
hCoV-19_Indonesia_SU-NIHRD-WGS01600_2021	2021-03-07
hCoV-19_Bangladesh_ideSHi-N-1392_2021	2021-03-16
hCoV-19_Palestine_AAS47_2021	2021-02-05
hCoV-19_Palestine_AAS48_2021	2021-02-05
hCoV-19_Palestine_AAS49_2021	2021-02-05
hCoV-19_Palestine_AAS51_2021	2021-02-05
hCoV-19_Palestine_AAS53_2021	2021-02-05
hCoV-19_Palestine_AAS54_2021	2021-02-06
hCoV-19_Palestine_AAS57_2021	2021-02-05
hCoV-19_Palestine_AAS58_2021	2021-02-05
hCoV-19_Palestine_AAS59_2021	2021-02-06
hCoV-19_India_MH-NCCS-VOC-390_2021	2021-01-18
hCoV-19_India_MH-NCCS-VOC-394_2021	2021-01-19
hCoV-19_India_KA-NCCS-VOC-397_2021	2021-01-19
hCoV-19_India_MH-NCCS-VOC-411_2021	2021-01-22
hCoV-19_India_GJ-NCCS-VOC-413_2021	2021-01-22
hCoV-19_India_MH-NCCS-VOC-414-394-1_2021	2021-01-22
hCoV-19_India_TN-NCCS-VOC-593_2020	2020-12-27
hCoV-19_India_TN-NCCS-VOC-600_2020	2020-12-27
hCoV-19_India_TN-NCCS-VOC-604_2020	2020-12-27
hCoV-19_India_MH-NCCS-CHN21026142_2021	2021-02-22
hCoV-19_India_MH-NCCS-CHN21026453_2021	2021-02-23
hCoV-19_India_MH-NCCS-CHN21026666_2021	2021-02-23
hCoV-19_India_MH-NCCS-CHN21026896_2021	2021-02-24
hCoV-19_India_MH-NCCS-CHN21027108_2021	2021-02-24
hCoV-19_India_MH-NCCS-CHN21027234_2021	2021-02-25
hCoV-19_Bangladesh_BCSIR-SUST-18_2021	2021-02-18
hCoV-19_Bangladesh_ideSHi-IR-204_2021	2021-04-12
hCoV-19_Bangladesh_ideSHi-IR-205_2021	2021-04-12
hCoV-19_India_GJ-ICMR-NIV-INSACOG-GSEQ-493_2021	2021-02-25
hCoV-19_India_TN-60_S10_R1_001_2021	2021-01-20
hCoV-19_India_TN-62_S12_R1_001_2021	2021-01-20
hCoV-19_India_TN-63_S13_R1_001_2021	2021-01-20
hCoV-19_India_TN-64_S14_R1_001_2021	2021-01-20
hCoV-19_India_TG-CCMB-BB566_2020	2020-12-25
hCoV-19_India_AP-CCMB-BB567_2020	2020-12-25
hCoV-19_HongKong_VM20194408_2020	2020-12-21
hCoV-19_Bangladesh_CHRF-0128_2020	2020-12-31
hCoV-19_Bangladesh_CHRF-0135_2021	2021-01-04
hCoV-19_Taiwan_CGMH-CGU-44_2020	2020-12-26
hCoV-19_India_KA-NIMH-SEQ-177_2021	2021-01-26
hCoV-19_India_KA-NIMH-SEQ-178_2021	2021-01-27
hCoV-19_India_KA-NIMH-SEQ-179_2021	2021-01-27
hCoV-19_India_KA-NIMH-SEQ-181_2021	2021-01-31
hCoV-19_Taiwan_NTU52_2021	2021-01-06
hCoV-19_Philippines_PH-PGC-00315_2020	2020-12-29
hCoV-19_Philippines_PH-PGC-00317_2020	2020-12-29
hCoV-19_Philippines_PH-PGC-00401_2020	2020-12-10
hCoV-19_Philippines_PH-PGC-00986_2021	2021-01-07
hCoV-19_Philippines_PH-PGC-02005_2021	2021-01-04
hCoV-19_Philippines_PH-PGC-02008_2021	2021-01-03
hCoV-19_Philippines_PH-PGC-02009_2021	2021-01-03
hCoV-19_Philippines_PH-PGC-02033_2021	2021-01-05
hCoV-19_Philippines_PH-PGC-02127_2021	2021-01-07
hCoV-19_Philippines_PH-PGC-02131_2021	2021-01-07
hCoV-19_Philippines_PH-PGC-02133_2021	2021-01-07
