tip_name	tip_dates
hCoV-19_USA_CT-QDX-3230_2021	2021-01-06
hCoV-19_USA_CT-Yale-S153_2021	2021-01-18
hCoV-19_USA_CT-JAX-J000015_2021	2021-01-06
hCoV-19_USA_CT-JAX-J000016_2021	2021-01-06
hCoV-19_USA_CT-Yale-S131_2021	2021-01-16
hCoV-19_USA_CT-Yale-S249_2021	2021-01-26
hCoV-19_USA_CT-Yale-S250_2021	2021-01-26
hCoV-19_USA_CT-Yale-S252_2021	2021-01-27
hCoV-19_USA_CT-Yale-S253_2021	2021-01-27
hCoV-19_USA_CT-Yale-S254_2021	2021-01-27
hCoV-19_USA_CT-Yale-S255_2021	2021-01-27
hCoV-19_USA_CT-Yale-S256_2021	2021-01-05
hCoV-19_USA_CT-Yale-1213_2021	2021-01-24
hCoV-19_USA_CT-Yale-1215_2021	2021-01-26
hCoV-19_USA_CT-Yale-1216_2021	2021-01-29
hCoV-19_USA_CT-Yale-1218_2021	2021-01-29
hCoV-19_USA_CT-Yale-1219_2021	2021-01-27
hCoV-19_USA_CT-Yale-1220_2021	2021-01-27
hCoV-19_USA_CT-Yale-1227_2021	2021-01-27
hCoV-19_USA_CT-Yale-1233_2021	2021-01-27
hCoV-19_USA_CT-Yale-1451_2021	2021-02-11
hCoV-19_USA_CT-Yale-1452_2021	2021-02-12
hCoV-19_USA_CT-Yale-1453_2021	2021-02-12
hCoV-19_USA_CT-Yale-1454_2021	2021-02-13
hCoV-19_USA_CT-Yale-1459_2021	2021-02-09
hCoV-19_USA_CT-Yale-1916_2021	2021-02-26
hCoV-19_USA_CT-Yale-1869_2021	2021-02-25
hCoV-19_USA_CT-Yale-1852_2021	2021-02-21
hCoV-19_USA_CT-Yale-1860_2021	2021-02-23
hCoV-19_USA_CT-Yale-1858_2021	2021-02-22
hCoV-19_USA_CT-Yale-1871_2021	2021-02-25
hCoV-19_USA_CT-Yale-1824_2021	2021-02-20
hCoV-19_USA_CT-Yale-1755_2021	2021-02-14
hCoV-19_USA_CT-Yale-1861_2021	2021-02-21
hCoV-19_USA_CT-Yale-1848_2021	2021-02-20
hCoV-19_USA_CT-CDC-22058245_2021	2021-02-15
hCoV-19_USA_CT-CDC-22057569_2021	2021-02-15
hCoV-19_USA_CT-CDC-22164436_2021	2021-02-17
hCoV-19_USA_CT-CDPH-0016_2021	2021-02-12
hCoV-19_USA_CT-CDPH-0017_2021	2021-02-16
hCoV-19_USA_CT-CDPH-0018_2021	2021-02-21
hCoV-19_USA_CT-Yale-1754_2021	2021-02-14
hCoV-19_USA_CT-Yale-1762_2021	2021-02-19
hCoV-19_USA_CT-Yale-1768_2021	2021-02-20
hCoV-19_USA_CT-Yale-1770_2021	2021-02-19
hCoV-19_USA_CT-Yale-1784_2021	2021-02-16
hCoV-19_USA_CT-Yale-1862_2021	2021-02-23
hCoV-19_USA_CT-CDC-LC0019163_2021	2021-02-15
hCoV-19_USA_CT-CDC-LC0019313_2021	2021-02-17
hCoV-19_USA_CT-CDC-22291920_2021	2021-02-22
hCoV-19_USA_CT-CDC-22291972_2021	2021-02-21
hCoV-19_USA_CT-CDC-22314449_2021	2021-02-22
hCoV-19_USA_CT-Yale-2253_2021	2021-03-09
hCoV-19_USA_CT-Yale-2254_2021	2021-03-10
hCoV-19_USA_CT-Yale-2256_2021	2021-03-10
hCoV-19_USA_CT-Yale-2261_2021	2021-03-12
hCoV-19_USA_CT-Yale-2262_2021	2021-03-12
hCoV-19_USA_CT-Yale-2263_2021	2021-03-13
hCoV-19_USA_CT-Yale-2274_2021	2021-03-14
hCoV-19_USA_CT-Yale-2275_2021	2021-03-14
hCoV-19_USA_CT-Yale-2276_2021	2021-03-15
hCoV-19_USA_CT-JAX-JAX000356_2021	2021-03-15
hCoV-19_USA_CT-JAX-JAX000357_2021	2021-03-19
hCoV-19_USA_CT-JAX-JAX000358_2021	2021-03-16
hCoV-19_USA_CT-JAX-JAX000363_2021	2021-03-16
hCoV-19_USA_CT-JAX-JAX000367_2021	2021-03-16
hCoV-19_USA_CT-JAX-JAX000368_2021	2021-03-16
hCoV-19_USA_CT-CDC-22524956_2021	2021-02-27
hCoV-19_USA_CT-CDC-22524674_2021	2021-02-27
hCoV-19_USA_CT-CDC-22528505_2021	2021-03-02
hCoV-19_USA_CT-CDC-22528390_2021	2021-03-02
hCoV-19_USA_CT-CDC-22528294_2021	2021-03-02
hCoV-19_USA_CT-CDC-22526881_2021	2021-03-01
hCoV-19_USA_CT-CDC-22631720_2021	2021-03-03
hCoV-19_USA_CT-CDC-22631816_2021	2021-03-03
hCoV-19_USA_CT-CDC-22631819_2021	2021-03-02
hCoV-19_USA_CT-CDC-22631136_2021	2021-03-03
hCoV-19_USA_CT-CDC-22630991_2021	2021-03-02
hCoV-19_USA_CT-Yale-2507_2021	2021-03-12
hCoV-19_USA_CT-Yale-2508_2021	2021-03-12
hCoV-19_USA_CT-Yale-2510_2021	2021-03-12
hCoV-19_USA_CT-Yale-2512_2021	2021-03-12
hCoV-19_USA_CT-Yale-2513_2021	2021-03-12
hCoV-19_USA_CT-Yale-2514_2021	2021-03-12
hCoV-19_USA_CT-Yale-2520_2021	2021-03-12
hCoV-19_USA_CT-Yale-2525_2021	2021-03-12
hCoV-19_USA_CT-Yale-2526_2021	2021-03-12
hCoV-19_USA_CT-Yale-2530_2021	2021-03-12
hCoV-19_USA_CT-Yale-2536_2021	2021-03-13
hCoV-19_USA_CT-Yale-2538_2021	2021-03-13
hCoV-19_USA_CT-Yale-2540_2021	2021-03-13
hCoV-19_USA_CT-Yale-2546_2021	2021-03-12
hCoV-19_USA_CT-Yale-2547_2021	2021-03-12
hCoV-19_USA_CT-Yale-2551_2021	2021-03-13
hCoV-19_USA_CT-JAX-JAX000494_2021	2021-03-26
hCoV-19_USA_CT-JAX-JAX000499_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000502_2021	2021-03-22
hCoV-19_USA_CT-JAX-JAX000504_2021	2021-03-22
hCoV-19_USA_CT-JAX-JAX000506_2021	2021-03-27
hCoV-19_USA_CT-JAX-JAX000510_2021	2021-03-22
hCoV-19_USA_CT-JAX-JAX000514_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000515_2021	2021-03-28
hCoV-19_USA_CT-JAX-JAX000516_2021	2021-03-27
hCoV-19_USA_CT-JAX-JAX000522_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000533_2021	2021-03-27
hCoV-19_USA_CT-JAX-JAX000537_2021	2021-03-26
hCoV-19_USA_CT-JAX-JAX000540_2021	2021-03-27
hCoV-19_USA_CT-JAX-JAX000550_2021	2021-03-26
hCoV-19_USA_CT-JAX-JAX000553_2021	2021-03-23
hCoV-19_USA_CT-JAX-JAX000554_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000555_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000556_2021	2021-03-22
hCoV-19_USA_CT-JAX-JAX000578_2021	2021-03-23
hCoV-19_USA_CT-JAX-JAX000588_2021	2021-03-23
hCoV-19_USA_CT-JAX-JAX000589_2021	2021-03-25
hCoV-19_USA_CT-JAX-JAX000590_2021	2021-03-24
hCoV-19_USA_CT-JAX-JAX000595_2021	2021-03-22
hCoV-19_USA_CT-JAX-JAX000596_2021	2021-03-21
hCoV-19_USA_CT-CDC-STM-000031176_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22753458_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22753679_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22753054_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22754242_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22753670_2021	2021-03-07
hCoV-19_USA_CT-CDC-QDX22753128_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22753037_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22785062_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22785037_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22783194_2021	2021-03-08
hCoV-19_USA_CT-CDC-QDX22782960_2021	2021-03-09
hCoV-19_USA_CT-CDC-QDX22784852_2021	2021-03-09
hCoV-19_USA_CT-CDC-QDX22784617_2021	2021-03-09
hCoV-19_USA_CT-CDC-QDX22784508_2021	2021-03-08
hCoV-19_USA_CT-CDCBI-CRSP_01616_2021	2021-03-19
hCoV-19_USA_CT-JAX-JAX000642_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000643_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000644_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000645_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000647_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000648_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000653_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000654_2021	2021-04-01
hCoV-19_USA_CT-JAX-JAX000655_2021	2021-04-01
hCoV-19_USA_CT-JAX-JAX000657_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000658_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000672_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000673_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000675_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000676_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000679_2021	2021-04-01
hCoV-19_USA_CT-JAX-JAX000681_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000685_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000686_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000688_2021	2021-04-01
hCoV-19_USA_CT-JAX-JAX000689_2021	2021-04-01
hCoV-19_USA_CT-JAX-JAX000695_2021	2021-04-01
hCoV-19_USA_CT-JAX-JAX000696_2021	2021-03-31
hCoV-19_USA_CT-JAX-JAX000697_2021	2021-03-29
hCoV-19_USA_CT-JAX-JAX000700_2021	2021-03-30
hCoV-19_USA_CT-JAX-JAX000702_2021	2021-03-29
hCoV-19_USA_CT-CDC-ASC210003924_2021	2021-03-11
hCoV-19_USA_CT-CDC-ASC210006358_2021	2021-03-16
hCoV-19_USA_CT-CDC-ASC210006379_2021	2021-03-16
hCoV-19_USA_CT-CDC-ASC210016956_2021	2021-03-20
hCoV-19_USA_CT-CDC-QDX23008514_2021	2021-03-14
hCoV-19_USA_CT-CDC-QDX23007784_2021	2021-03-16
hCoV-19_USA_CT-CDC-QDX23007847_2021	2021-03-15
hCoV-19_USA_CT-CDC-QDX23007851_2021	2021-03-16
hCoV-19_USA_CT-CDC-QDX23008521_2021	2021-03-15
hCoV-19_USA_CT-CDC-QDX23007840_2021	2021-03-16
hCoV-19_USA_CT-CDC-QDX23173882_2021	2021-03-20
hCoV-19_USA_CT-CDC-ASC210005405_2021	2021-03-12
hCoV-19_USA_CT-Yale-3213_2021	2021-03-26
hCoV-19_USA_CT-Yale-3217_2021	2021-03-26
hCoV-19_USA_CT-Yale-3218_2021	2021-03-26
hCoV-19_USA_CT-CDC-LC0038345_2021	2021-03-31
hCoV-19_USA_CT-Yale-3564_2021	2021-04-05
hCoV-19_USA_CT-Yale-3565_2021	2021-04-05
hCoV-19_USA_CT-Yale-3566_2021	2021-04-05
hCoV-19_USA_CT-Yale-3568_2021	2021-04-05
hCoV-19_USA_CT-Yale-3569_2021	2021-04-05
hCoV-19_USA_CT-Yale-3570_2021	2021-04-06
hCoV-19_USA_CT-Yale-3571_2021	2021-04-06
hCoV-19_USA_CT-Yale-3572_2021	2021-04-06
hCoV-19_USA_CT-Yale-3574_2021	2021-04-02
hCoV-19_USA_CT-CDC-LC0040271_2021	2021-04-04
hCoV-19_USA_CT-CDC-LC0040246_2021	2021-04-05
hCoV-19_USA_CT-CDC-LC0040261_2021	2021-04-05
hCoV-19_USA_CT-CDC-LC0041016_2021	2021-04-08
hCoV-19_USA_CT-CDC-LC0041054_2021	2021-04-08
hCoV-19_USA_CT-CDC-LC0043304_2021	2021-04-09
hCoV-19_USA_CT-CDC-ASC210039846_2021	2021-03-31
hCoV-19_USA_CT-JAX-J000020_2021	2021-01-25
hCoV-19_USA_CT-JAX-J000021_2021	2021-01-25
hCoV-19_USA_CT-JAX-J000022_2021	2021-01-26
hCoV-19_USA_CT-JAX-J000023_2021	2021-01-13
hCoV-19_USA_CT-JAX-J000025_2021	2021-01-25
hCoV-19_USA_CT-JAX-J000026_2021	2021-01-12
hCoV-19_USA_CT-JAX-J000028_2021	2021-01-18
hCoV-19_USA_CT-JAX-J000030_2021	2021-01-14
hCoV-19_USA_CT-JAX-J000031_2021	2021-01-13
hCoV-19_USA_CT-JAX-J000033_2021	2021-01-14
hCoV-19_USA_NY-NYULH72_2021	2021-02-01
hCoV-19_USA_NY-NYULH73_2021	2021-02-02
hCoV-19_USA_NY-NYULH74_2021	2021-02-02
hCoV-19_USA_NY-NYULH75_2021	2021-02-09
hCoV-19_USA_NY-NYULH76_2021	2021-02-09
hCoV-19_USA_NY-NYULH77_2021	2021-02-07
hCoV-19_USA_NY-NYULH78_2021	2021-01-30
hCoV-19_USA_NY-Wadsworth-21017860-01_2021	2021-02-01
hCoV-19_USA_NY-Wadsworth-21018127-01_2021	2021-02-01
hCoV-19_USA_NY-Wadsworth-21018128-01_2021	2021-02-02
hCoV-19_USA_NY-Wadsworth-21018153-01_2021	2021-01-31
hCoV-19_USA_NY-PRL-2021_02_17_00E19_2021	2021-02-13
hCoV-19_USA_NY-PRL-2021_02_17_00I12_2021	2021-02-13
hCoV-19_USA_NY-PRL-2021_02_17_00K21_2021	2021-02-13
hCoV-19_USA_NY-PRL-2021_02_17_00L04_2021	2021-02-13
hCoV-19_USA_NY-CDC-STM-000009052_2021	2021-02-02
hCoV-19_USA_NY-PRL-2021_02_19_00M16_2021	2021-02-16
hCoV-19_USA_NY-PRL-2021_02_19_00M17_2021	2021-02-16
hCoV-19_USA_NY-PRL-2021_02_19_00M19_2021	2021-02-17
hCoV-19_USA_NY-PRL-2021_02_19_00O03_2021	2021-02-17
hCoV-19_USA_NY-NYCPHL-003402_2021	2021-02-17
hCoV-19_USA_NY-NYCPHL-003406_2021	2021-02-17
hCoV-19_USA_NY-NYCPHL-003422_2021	2021-02-18
hCoV-19_USA_NY-NYCPHL-003425_2021	2021-02-18
hCoV-19_USA_NY-NYCPHL-003449_2021	2021-02-19
hCoV-19_USA_NY-PRL-2021_02_26_01F04_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01G01_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01H21_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01I01_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01I04_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01I18_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01L11_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01L21_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01M12_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01M20_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01O18_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01P08_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01P22_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_02_26_01P23_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_03_01_00A18_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00A23_2021	2021-02-24
hCoV-19_USA_NY-PRL-2021_03_01_00B18_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00C23_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00D04_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00D24_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00E03_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00F13_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00G03_2021	2021-02-25
hCoV-19_USA_NY-PRL-2021_03_01_00G12_2021	2021-02-25
hCoV-19_USA_NY-PRL-2021_03_01_00I04_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00J19_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00J20_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00J22_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_01_00K09_2021	2021-02-27
hCoV-19_USA_NY-PRL-2021_03_01_00K18_2021	2021-02-27
hCoV-19_USA_NY-CDC-LC0012196_2021	2021-01-29
hCoV-19_USA_NY-CDC-LC0014573_2021	2021-02-09
hCoV-19_USA_NY-CDC-LC0014402_2021	2021-02-09
hCoV-19_USA_NY-CDC-LC0016637_2021	2021-02-09
hCoV-19_USA_NY-NYULH510_2021	2021-02-22
hCoV-19_USA_NY-NYULH513_2021	2021-02-23
hCoV-19_USA_NY-NYULH515_2021	2021-02-24
hCoV-19_USA_NY-NYULH516_2021	2021-02-23
hCoV-19_USA_NY-NYULH525_2021	2021-02-21
hCoV-19_USA_NY-NYULH527_2021	2021-02-20
hCoV-19_USA_NY-NYULH530_2021	2021-02-27
hCoV-19_USA_NY-NYULH531_2021	2021-02-26
hCoV-19_USA_NY-NYULH532_2021	2021-02-27
hCoV-19_USA_NY-NYULH538_2021	2021-02-27
hCoV-19_USA_NY-NYULH545_2021	2021-02-25
hCoV-19_USA_NY-NYULH560_2021	2021-02-26
hCoV-19_USA_NY-NYULH562_2021	2021-02-26
hCoV-19_USA_NY-NYULH568_2021	2021-02-26
hCoV-19_USA_NY-NYULH582_2021	2021-02-26
hCoV-19_USA_NY-NYULH583_2021	2021-02-26
hCoV-19_USA_NY-NYULH584_2021	2021-02-25
hCoV-19_USA_NY-NYULH586_2021	2021-02-24
hCoV-19_USA_NY-NYULH587_2021	2021-02-28
hCoV-19_USA_NY-NYULH588_2021	2021-02-28
hCoV-19_USA_NY-NYULH592_2021	2021-02-27
hCoV-19_USA_NY-NYULH594_2021	2021-02-27
hCoV-19_USA_NY-NYULH612_2021	2021-02-26
hCoV-19_USA_NY-Wadsworth-21025861-01_2021	2021-02-20
hCoV-19_USA_NY-Wadsworth-21018071-01_2021	2021-01-26
hCoV-19_USA_NY-Wadsworth-21020869-01_2021	2021-02-04
hCoV-19_USA_NY-Wadsworth-21020580-01_2021	2021-02-04
hCoV-19_USA_NY-Wadsworth-21020890-01_2021	2021-02-04
hCoV-19_USA_NY-Wadsworth-21020518-01_2021	2021-02-05
hCoV-19_USA_NY-Wadsworth-21020543-01_2021	2021-02-05
hCoV-19_USA_NY-Wadsworth-21020531-01_2021	2021-02-06
hCoV-19_USA_NY-Wadsworth-21025961-01_2021	2021-02-21
hCoV-19_USA_NY-Wadsworth-21025963-01_2021	2021-02-21
hCoV-19_USA_NY-Wadsworth-21026026-01_2021	2021-02-21
hCoV-19_USA_NY-Wadsworth-21012372-01_2021	2021-01-18
hCoV-19_USA_NY-Wadsworth-21024790-01_2021	2021-02-22
hCoV-19_USA_NY-Wadsworth-21025029-01_2021	2021-02-22
hCoV-19_USA_NY-Wadsworth-21024620-01_2021	2021-02-19
hCoV-19_USA_NY-Wadsworth-21025853-01_2021	2021-02-21
hCoV-19_USA_NY-Wadsworth-21026370-01_2021	2021-02-23
hCoV-19_USA_NY-Wadsworth-21021016-01_2021	2021-02-07
hCoV-19_USA_NY-Wadsworth-21023478-01_2021	2021-02-11
hCoV-19_USA_NY-Wadsworth-21024624-01_2021	2021-02-19
hCoV-19_USA_NY-Wadsworth-21023240-01_2021	2021-02-15
hCoV-19_USA_NY-Wadsworth-21024753-01_2021	2021-02-17
hCoV-19_USA_NY-Wadsworth-21024794-01_2021	2021-02-22
hCoV-19_USA_NY-Wadsworth-21025869-01_2021	2021-02-22
hCoV-19_USA_NY-Wadsworth-21023449-01_2021	2021-02-13
hCoV-19_USA_NY-Wadsworth-21024531-01_2021	2021-02-15
hCoV-19_USA_NY-Wadsworth-21023453-01_2021	2021-02-16
hCoV-19_USA_NY-Wadsworth-21024739-01_2021	2021-02-12
hCoV-19_USA_NY-Wadsworth-21024540-01_2021	2021-02-15
hCoV-19_USA_NY-Wadsworth-21025854-01_2021	2021-02-21
hCoV-19_USA_NY-CDC-STM-000003569_2021	2021-01-17
hCoV-19_USA_NY-NYCPHL-003789_2021	2021-03-09
hCoV-19_USA_NY-NYCPHL-003758_2021	2021-03-08
hCoV-19_USA_NY-NYCPHL-003736_2021	2021-03-05
hCoV-19_USA_NY-NYCPHL-003707_2021	2021-03-03
hCoV-19_USA_NY-NYCPHL-003700_2021	2021-03-03
hCoV-19_USA_NY-NYCPHL-003714_2021	2021-03-04
hCoV-19_USA_NY-NYCPHL-003742_2021	2021-03-05
hCoV-19_USA_NY-NYCPHL-003743_2021	2021-03-05
hCoV-19_USA_NY-NYCPHL-003696_2021	2021-03-03
hCoV-19_USA_NY-NYCPHL-003703_2021	2021-03-03
hCoV-19_USA_NY-NYCPHL-003749_2021	2021-03-02
hCoV-19_USA_NY-CDC-22258079_2021	2021-02-18
hCoV-19_USA_NY-CDC-22258094_2021	2021-02-17
hCoV-19_USA_NY-CDC-22252879_2021	2021-02-18
hCoV-19_USA_NY-CDC-22284526_2021	2021-02-17
hCoV-19_USA_NY-CDC-LC0019220_2021	2021-02-15
hCoV-19_USA_NY-CDC-LC0019221_2021	2021-02-16
hCoV-19_USA_NY-CDC-LC0020155_2021	2021-02-22
hCoV-19_USA_NY-CDC-LC0019104_2021	2021-02-15
hCoV-19_USA_NY-CDC-LC0020661_2021	2021-02-23
hCoV-19_USA_NY-CDC-LC0020719_2021	2021-02-23
hCoV-19_USA_NY-NYULH772_2021	2021-03-08
hCoV-19_USA_NY-NYULH769_2021	2021-03-08
hCoV-19_USA_NY-NYULH731_2021	2021-03-07
hCoV-19_USA_NY-NYULH766_2021	2021-03-07
hCoV-19_USA_NY-NYULH734_2021	2021-03-06
hCoV-19_USA_NY-NYULH767_2021	2021-03-06
hCoV-19_USA_NY-NYULH717_2021	2021-03-06
hCoV-19_USA_NY-NYULH733_2021	2021-03-06
hCoV-19_USA_NY-NYULH758_2021	2021-03-05
hCoV-19_USA_NY-NYULH793_2021	2021-03-05
hCoV-19_USA_NY-NYULH755_2021	2021-03-05
hCoV-19_USA_NY-NYULH725_2021	2021-03-04
hCoV-19_USA_NY-NYULH761_2021	2021-03-04
hCoV-19_USA_NY-NYULH701_2021	2021-03-04
hCoV-19_USA_NY-NYULH702_2021	2021-03-04
hCoV-19_USA_NY-NYULH799_2021	2021-03-04
hCoV-19_USA_NY-PRL-2021_03_17_00I22_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_03_17_00J04_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_17_00K15_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_17_00M14_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_17_00N01_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_03_17_00N06_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_03_17_00N09_2021	2021-03-16
hCoV-19_USA_NY-PRL-2021_03_17_00N17_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_17_00N21_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00E07_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_16_00E11_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_16_00F22_2021	2021-03-13
hCoV-19_USA_NY-PRL-2021_03_16_00G08_2021	2021-03-13
hCoV-19_USA_NY-PRL-2021_03_16_00G21_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00H05_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00H12_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_16_00I17_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00J17_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00J19_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00J23_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00J24_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00K01_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00K12_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_16_00K15_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00K16_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00L10_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_16_00M04_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_16_00M07_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_16_00N16_2021	2021-03-14
hCoV-19_USA_NY-PRL-2021_03_16_00O05_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00P02_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_16_00P04_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_15_00A20_2021	2021-03-11
hCoV-19_USA_NY-PRL-2021_03_15_00C04_2021	2021-03-12
hCoV-19_USA_NY-PRL-2021_03_15_00C12_2021	2021-03-12
hCoV-19_USA_NY-PRL-2021_03_12_00P07_2021	2021-03-11
hCoV-19_USA_NY-PRL-2021_03_12_00P09_2021	2021-03-11
hCoV-19_USA_NY-NYCPHL-003801_2021	2021-03-10
hCoV-19_USA_NY-NYCPHL-003824_2021	2021-03-10
hCoV-19_USA_NY-NYCPHL-003886_2021	2021-03-15
hCoV-19_USA_NY-NYCPHL-003895_2021	2021-03-15
hCoV-19_USA_NY-NYCPHL-003906_2021	2021-03-16
hCoV-19_USA_NY-NYCPHL-003857_2021	2021-03-12
hCoV-19_USA_NY-NYCPHL-003929_2021	2021-03-16
hCoV-19_USA_NY-21-CoV-1697-VTM1-CABH157_2021	2021-02-22
hCoV-19_USA_NY-21-CoV-1856-VTM1-CMIH015_2021	2021-03-04
hCoV-19_USA_NY-21-CoV-1863-VTM1-CNFD987_2021	2021-03-06
hCoV-19_USA_NY-21-CoV-1695-VTM1-CBCY967_2021	2021-02-22
hCoV-19_USA_NY-21-CoV-1784-VTM2-CEJL528_2021	2021-02-26
hCoV-19_USA_NY-21-CoV-1806-VTM1-CHPI882_2021	2021-03-01
hCoV-19_USA_NY-21-CoV-1847-VTM1-CKJI184_2021	2021-03-03
hCoV-19_USA_NY-21-CoV-1681-VTM1-CAKK694_2021	2021-02-22
hCoV-19_USA_NY-21-CoV-1758-VTM2-CCLX425_2021	2021-02-26
hCoV-19_USA_NY-PRL-2021_03_18_00A14_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_18_00A16_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_03_22_00F07_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00F15_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00F19_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00G03_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00G08_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00G18_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00G24_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00H01_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00H16_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00I21_2021	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_22_00K04_2021	2021-03-19
