# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Jun 01 13:37:59 EDT 2021 [seed=1622569071193]
state	joint	prior	likelihood	loc.clock.rate	loc.meanRate	loc.rates.CT.NY-NJ	loc.rates.CT.domestic	loc.rates.CT.international	loc.rates.NY-NJ.domestic	loc.rates.NY-NJ.international	loc.rates.domestic.international	loc.rates.NY-NJ.CT	loc.rates.domestic.CT	loc.rates.international.CT	loc.rates.domestic.NY-NJ	loc.rates.international.NY-NJ	loc.rates.international.domestic	loc.indicators.CT.NY-NJ	loc.indicators.CT.domestic	loc.indicators.CT.international	loc.indicators.NY-NJ.domestic	loc.indicators.NY-NJ.international	loc.indicators.domestic.international	loc.indicators.NY-NJ.CT	loc.indicators.domestic.CT	loc.indicators.international.CT	loc.indicators.domestic.NY-NJ	loc.indicators.international.NY-NJ	loc.indicators.international.domestic	loc.nonZeroRates	loc.branchRates	loc.treeLikelihood
14000	-2749.0362789437386	-348.3852865461686	-2400.65099239757	2.1170534655926128	2.1170534655926083	3.838906107094026	0.37673740331163674	0.23308159560746966	1.8353357532040464	0.6073771238665702	0.5349880139339591	3.047173642394719	2.1952845885342884	0.4974890007543418	2.7900465144898745	0.8990193973375646	1.8177079058160002	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2400.65099239757
15000	-2746.174636914564	-354.1364448933055	-2392.0381920212585	2.1702413686319653	2.17024136863197	2.910920260471108	0.6293567423362324	0.22024886477626862	1.22544728591636	0.943116876322554	0.5435052949268556	2.720014428845598	1.7503879770321868	0.6025249364194564	2.40487475871706	0.9298832025777485	1.736502070793927	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2392.0381920212585
16000	-2747.6219871484054	-340.8235098186308	-2406.798477329775	2.0963161348894253	2.0963161348894297	3.0551524720705756	0.46288894154551125	0.34291168159735486	0.9520209616142392	0.52469718310421	0.354714121674308	2.2966876433857424	1.631303965059341	0.5575803677792058	2.081162063105587	0.6052851259201708	1.2911106741632778	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2406.798477329775
17000	-2747.957083234561	-375.12404004851425	-2372.833043186047	2.3425615090453142	2.34256150904533	1.7358130419494235	0.37741448723203624	0.12613446006016887	1.1312866222551567	0.7789850562694431	0.4921649413279031	1.9279575135869038	1.3487288484309918	0.3677441358244418	1.9444820603349044	0.8416032868572697	1.2389538522565304	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2372.833043186047
18000	-2747.9237896924965	-354.99848516357844	-2392.925304528918	2.1991830555109964	2.199183055510998	2.2730248987951858	0.43669199162325695	0.24799590002493582	1.169440532822258	0.5668202615155056	0.1875887364392292	1.9148382683040104	1.6138427127608905	0.6029295725107978	2.0586853513266674	0.9098947735593825	1.2488085774784172	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2392.925304528918
19000	-2742.07190723352	-351.6096890439098	-2390.46221818961	2.17171045923672	2.171710459236733	2.6522250593188486	0.29878926970144415	0.14678005241875666	1.1785053759997615	0.5901475758131134	0.5370323709038147	2.119008817696674	1.9289088141637247	0.40024565237873405	1.965024122700167	0.7647496233465841	1.2929646917553277	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2390.46221818961
20000	-2748.921381495763	-359.4123786701896	-2389.5090028255736	2.220349910080711	2.220349910080715	2.774296672827894	0.61642803441401	0.3214859510795267	1.2993342614428147	0.5164748886719935	0.5650117492084329	2.3146215348788193	1.7210262435516763	0.5038989268697038	2.244885708024543	0.5539105995901853	1.1061178528655888	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2389.5090028255736
21000	-2748.6212651710975	-371.22540264428375	-2377.3958625268137	2.307095617398154	2.307095617398157	2.632059458083149	0.38626636457390234	0.1358740668632361	1.511308807395037	0.759182552175504	0.3230301334073893	1.901345197181657	1.7676238889941311	0.6169782289307509	1.643874609402738	0.7732974220015223	1.1672303912950572	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2377.3958625268137
22000	-2742.779815678054	-359.9047756339247	-2382.8750400441295	2.2641312373967937	2.264131237396816	1.5517558483863023	0.17179637474150866	0.19550027165549325	0.8448413050204919	0.28143925916220935	0.17191956018361484	1.3141951268201706	1.1338212550830309	0.33009904959854747	1.3629675618099737	0.5312175187669049	0.7140665022599035	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2382.8750400441295
23000	-2738.087700615447	-339.334301537029	-2398.753399078418	2.1452745536594655	2.1452745536594664	1.065644008255741	0.12848962355806232	0.07348452549428434	0.47144040332554144	0.17112227124884827	0.21817224920647182	0.7710594103621472	0.6916483066635425	0.21655864242710388	0.922445148400708	0.2036532505181772	0.5457950065670035	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2398.753399078418
24000	-2741.902885650482	-353.6250412314219	-2388.27784441906	2.2202473338201365	2.2202473338201436	1.4143770985802164	0.259228220290309	0.07537054396743684	0.6380626528861212	0.2470035383402324	0.36083184190437123	1.230705061025793	1.1111788059615935	0.29716868957127496	1.7638848276394459	0.5022482601301831	0.8651519222244968	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2388.27784441906
25000	-2748.2508149401606	-320.9573241632265	-2427.293490776934	1.9859711355982315	1.9859711355982297	2.349729023696292	0.4095920841872904	0.3474315795176701	0.8883305919305851	0.7023036487791603	0.5493742623985796	2.2381246471226506	1.3121031423652574	0.5221749616428703	1.8168103001497289	0.6052402656936581	1.232007982970206	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	0.0	-2427.293490776934
26000	-2742.5656794857323	-356.76612282471	-2385.7995566610225	2.2664812375063472	2.2664812375063508	1.277513347885223	0.20713212416086949	0.6902112596936599	0.5843711549825794	0.45830999910527737	0.2030437860369731	1.25287811774442	0.7504234967992532	0.2787054892531872	1.0184577444820995	0.25835766058525184	0.6255391320473178	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	0.0	-2385.7995566610225
