# BEAST v1.10.5 Prerelease #23570d1
# Generated Sat May 29 14:49:01 EDT 2021 [seed=1622314133195]
state	joint	prior	likelihood	loc.clock.rate	loc.meanRate	loc.rates.CT.NY-NJ	loc.rates.CT.domestic	loc.rates.CT.international	loc.rates.NY-NJ.domestic	loc.rates.NY-NJ.international	loc.rates.domestic.international	loc.rates.NY-NJ.CT	loc.rates.domestic.CT	loc.rates.international.CT	loc.rates.domestic.NY-NJ	loc.rates.international.NY-NJ	loc.rates.international.domestic	loc.indicators.CT.NY-NJ	loc.indicators.CT.domestic	loc.indicators.CT.international	loc.indicators.NY-NJ.domestic	loc.indicators.NY-NJ.international	loc.indicators.domestic.international	loc.indicators.NY-NJ.CT	loc.indicators.domestic.CT	loc.indicators.international.CT	loc.indicators.domestic.NY-NJ	loc.indicators.international.NY-NJ	loc.indicators.international.domestic	loc.nonZeroRates	loc.branchRates	loc.treeLikelihood
10000	-1713.8481103224437	-180.83717041047467	-1533.010939911969	2.0965725667046624	2.096572566704662	2.3766071006014515	0.36712831390332423	0.4773295850490983	1.285348282699378	0.6098786227705676	1.4207237009912543	2.3927975870225056	0.2742519311410646	0.3355112292417787	1.3260069944481083	0.2934274731375246	0.017892425707016133	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	8.0	0.0	-1533.010939911969
11000	-1718.2151841286432	-183.39232844089565	-1534.8228556877475	1.9756190122519834	1.975619012251988	2.6334864988891002	0.6790724017684079	0.23618309180549607	2.2049103045148475	0.7287988678987742	0.2596437142014399	4.4759712316769855	0.9848613609571598	1.375793473380251	1.697476805067654	0.7701454902707553	0.006663999573897253	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-1534.8228556877475
12000	-1713.1267700010908	-183.133151257234	-1529.9936187438568	2.074748118391921	2.0747481183919163	1.3549572944147692	0.40820063797872236	2.376607914385853	1.0068309610783521	0.367895753578619	0.26261436537438543	1.5165751644807923	0.24624253208994232	3.842456081906424	0.9363023915151605	0.39136869307354244	0.22886087477372813	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1529.9936187438568
13000	-1710.6856970094336	-182.61121535238925	-1528.0744816570443	2.114972276089304	2.1149722760893095	1.4903685632207178	0.5126267224734354	0.3945486508904149	0.8337983800914739	0.47487499746852885	0.049158207381428544	1.7831225794069623	0.29827713991094146	0.47301525533701205	0.7238328245579662	0.38713883283191575	1.9307516785993453	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1528.0744816570443
14000	-1710.9779935555298	-186.76707002050642	-1524.2109235350233	2.1001509710866904	2.100150971086688	1.872336807935329	0.5141798369613105	0.1278961792696773	1.1730513492140893	0.37835227780590536	0.1152823964870303	2.1351800578537166	0.24985108118985533	4.44525465229612	0.8926394685188718	0.2552595969654849	0.1750025260752292	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1524.2109235350233
15000	-1721.4155635520915	-202.79412963592947	-1518.621433916162	2.2939902988038314	2.29399029880383	3.022350802005731	0.6957483763349787	0.46969937227084196	1.9107214099132794	0.6964127018359227	0.0733803501618166	3.1894803390871544	0.3691065681114234	0.9267458858486455	1.519998848867118	2.139129065978444	0.8808841615989847	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1518.621433916162
16000	-1707.3604459100738	-189.7529737021085	-1517.6074722079654	2.1896121384492564	2.1896121384492497	1.3741182181194735	0.4495728477916114	0.15500355178900013	1.016116231430064	0.32801508834534565	0.2578527329693957	1.5685862746685684	0.2645741204558402	1.0741047238707002	0.9311065900988791	0.44861211159155817	0.6352322281177936	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1517.6074722079654
17000	-1713.8306928820698	-184.62106330757018	-1529.2096295744996	2.0339483593736767	2.0339483593736727	3.3219052003149465	0.6517529612539658	0.16840584689686136	1.7453990660527205	0.5637484803315509	0.12091858879987348	3.2522351431317014	0.2997557704696603	0.2898757451189458	1.3006465525309319	0.9119544608965849	2.607163085221028	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1529.2096295744996
18000	-1713.40450677051	-196.99871774886068	-1516.4057890216493	2.2002928287832146	2.2002928287832204	2.626401331354902	0.8019761745167733	0.19146937461063449	1.7727513330962843	0.7896456300603902	0.27884233659463004	3.32382120512246	0.40328785701255637	0.9083668578681479	1.9200683487278347	1.073164359983414	0.8449902146067386	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1516.4057890216493
19000	-1719.2433095848423	-165.17173291749168	-1554.0715766673507	1.8960562278203366	1.8960562278203348	1.6547613514049355	0.3939786722167458	0.9567847576331033	1.0732264458275178	0.4162351498038706	0.17590774284041885	1.8386733372102328	0.0762803641633572	0.36935196409911	1.080875320479002	0.8866186303604392	1.8724251822212847	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	8.0	0.0	-1554.0715766673507
